case,record_mode,record_interval,successful_runs,simulation_min_ms,simulation_median_ms,simulation_max_ms,end_to_end_min_ms,end_to_end_median_ms,end_to_end_max_ms,trajectory_bytes
record_off,off,0,5,218.089304,218.246466,218.357329,506.7224367521703,542.12306220704591,631.0197031125426,0
record_k1,on,1,5,246.067722,246.266987,246.930647,896.8907641246915,930.57625275510524,977.0882609300315,49201160
record_k10,on,10,5,220.89161,221.141136,221.349193,541.668794117868,552.39234678844725,558.4562602452934,4964360
record_k100,on,100,5,218.550412,218.693036,219.226196,507.6986183412373,508.82666199454665,516.8631630949676,540680
